iter	Passed	Remaining
0	152	152107
1	184	91839
2	213	71077
3	244	60803
4	291	58066
5	330	54729
6	366	52047
7	414	51340
8	466	51334
9	534	52893
10	575	51778
11	685	56427
12	762	57914
13	786	55392
14	811	53318
15	836	51447
16	864	49985
17	885	48334
18	900	46505
19	913	44769
20	926	43194
21	942	41891
22	959	40771
23	977	39749
24	996	38864
25	1060	39725
26	1198	43187
27	1223	42475
28	1274	42676
29	1309	42335
30	1336	41791
31	1371	41479
32	1386	40628
33	1476	41940
34	1577	43491
35	1641	43950
36	1672	43532
37	1704	43156
38	1747	43047
39	1778	42674
40	1811	42375
41	1838	41924
42	1873	41703
43	1912	41547
44	1946	41298
45	1977	41010
46	1997	40495
47	2011	39899
48	2028	39362
49	2043	38829
50	2059	38326
51	2074	37819
52	2088	37315
53	2098	36770
54	2110	36268
55	2132	35949
56	2146	35517
57	2162	35116
58	2183	34822
59	2197	34422
60	2210	34032
61	2236	33836
62	2255	33542
63	2273	33243
64	2292	32970
65	2345	33193
66	2389	33280
67	2437	33402
68	2477	33429
69	2506	33303
70	2522	33011
71	2540	32743
72	2550	32390
73	2564	32088
74	2579	31808
75	2592	31514
76	2603	31208
77	2615	30919
78	2626	30625
79	2636	30318
80	2644	30004
81	2652	29695
82	2660	29399
83	2669	29111
84	2678	28835
85	2687	28561
86	2697	28305
87	2711	28100
88	2723	27872
89	2740	27709
90	2755	27528
91	2772	27365
92	2788	27191
93	2801	27001
94	2812	26788
95	2821	26571
96	2830	26351
97	2840	26142
98	2849	25934
99	2859	25734
100	2873	25578
101	2886	25411
102	2905	25301
103	2919	25152
104	2933	25003
105	2949	24871
106	2965	24750
107	2976	24582
108	2991	24455
109	3006	24322
110	3023	24212
111	3040	24104
112	3056	23995
113	3073	23885
114	3089	23777
115	3108	23689
116	3121	23561
117	3139	23466
118	3160	23395
119	3180	23324
120	3199	23240
121	3219	23166
122	3235	23072
123	3263	23054
124	3280	22963
125	3296	22869
126	3313	22777
127	3323	22639
128	3337	22536
129	3348	22411
130	3357	22274
131	3369	22160
132	3380	22035
133	3392	21926
134	3401	21797
135	3413	21683
136	3425	21579
137	3436	21465
138	3447	21353
139	3458	21246
140	3468	21130
141	3476	21005
142	3484	20883
143	3493	20765
144	3501	20649
145	3510	20535
146	3519	20425
147	3529	20317
148	3545	20250
149	3556	20152
150	3566	20052
151	3575	19949
152	3586	19855
153	3595	19754
154	3604	19648
155	3613	19552
156	3622	19452
157	3633	19363
158	3649	19305
159	3667	19255
160	3684	19201
161	3702	19152
162	3718	19094
163	3732	19026
164	3746	18958
165	3759	18889
166	3774	18825
167	3791	18776
168	3801	18694
169	3817	18640
170	3827	18555
171	3841	18492
172	3855	18432
173	3868	18366
174	3881	18297
175	3892	18226
176	3907	18167
177	3918	18094
178	3931	18031
179	3943	17966
180	3953	17890
181	3965	17821
182	3976	17751
183	3990	17696
184	4000	17624
185	4010	17552
186	4019	17474
187	4027	17396
188	4036	17320
189	4047	17254
190	4055	17179
191	4064	17104
192	4072	17030
193	4082	16962
194	4093	16900
195	4108	16854
196	4121	16800
197	4134	16746
198	4145	16687
199	4158	16634
200	4171	16583
201	4185	16533
202	4197	16478
203	4210	16427
204	4220	16367
205	4233	16315
206	4245	16265
207	4257	16210
208	4266	16147
209	4278	16095
210	4291	16048
211	4303	15995
212	4313	15939
213	4324	15884
214	4333	15821
215	4341	15758
216	4349	15695
217	4357	15632
218	4365	15569
219	4374	15509
220	4383	15450
221	4391	15390
222	4402	15340
223	4412	15285
224	4425	15243
225	4437	15196
226	4446	15141
227	4455	15087
228	4464	15029
229	4472	14972
230	4481	14917
231	4488	14860
232	4498	14807
233	4506	14753
234	4515	14700
235	4523	14644
236	4532	14592
237	4540	14538
238	4553	14497
239	4564	14452
240	4576	14414
241	4589	14375
242	4604	14343
243	4616	14304
244	4630	14268
245	4641	14227
246	4653	14186
247	4663	14142
248	4676	14105
249	4688	14066
250	4700	14025
251	4713	13991
252	4726	13955
